Country,Survey,Total
Colombia,2015 DHS,5.2
Colombia,2010 DHS,5.6
Colombia,2005 DHS,4.7
Colombia,2000 DHS,4.6
Colombia,1995 DHS,5.6
Colombia,1990 DHS,4.6
Colombia,1986 DHS,6.1
,,
India,2005-06 DHS,19.2
India,1998-99 DHS,30.9
India,1992-93 DHS,22.5
,,
Indonesia,2012 DHS,7.9
Indonesia,2007 DHS,9.3
Indonesia,2002-03 DHS,11.2
Indonesia,1997 DHS,13.8
Indonesia,1994 DHS,17.2
Indonesia,1991 DHS,18.4
Indonesia,1987 DHS,22.3
,,
Kenya,2015 MIS,
Kenya,2014 DHS,7.0
Kenya,2008-09 DHS,8.0
Kenya,2003 DHS,7.5
Kenya,1998 DHS,11.2
Kenya,1993 DHS,10.8
Kenya,1989 DHS,16.4
,,
Senegal,2016 DHS,9.7
Senegal,2015 DHS,9.6
Senegal,2014 DHS,10.4
Senegal,2012-13 DHS,10.6
Senegal,2010-11 DHS,15.1
Senegal,2008-09 MIS,
Senegal,2006 MIS,
Senegal,2005 DHS,13.5
Senegal,1997 DHS,15.0
Senegal,1992-93 DHS,20.0
Senegal,1986 DHS,18.0
